epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,246.436,0.71989,0.61857,0.89696,0.62279,0.74924,0.81978,0.72529,0.64459,0.50176,0.86033,0.00985546,0.00985546,0.00985546
148,248.046,0.74796,0.63176,0.9098,0.67041,0.71777,0.80529,0.70858,0.64747,0.50644,0.86765,0.00985447,0.00985447,0.00985447
149,249.594,0.75046,0.62187,0.9136,0.66347,0.68627,0.80506,0.69373,0.6871,0.51525,0.8769,0.00985348,0.00985348,0.00985348
150,251.181,0.73782,0.61115,0.90899,0.69353,0.65977,0.77127,0.68084,0.64367,0.50927,0.8646,0.00985249,0.00985249,0.00985249
151,252.784,0.75133,0.61212,0.89093,0.69092,0.65727,0.7867,0.68631,0.638,0.50768,0.86146,0.0098515,0.0098515,0.0098515
152,254.323,0.72839,0.61135,0.89016,0.73632,0.60444,0.786,0.69156,0.66248,0.50703,0.87559,0.00985051,0.00985051,0.00985051
153,255.829,0.72505,0.60358,0.89013,0.60925,0.71163,0.7688,0.66973,0.657,0.50605,0.86792,0.00984952,0.00984952,0.00984952
154,257.335,0.69872,0.596,0.89689,0.69131,0.59897,0.75118,0.65556,0.66348,0.51401,0.86773,0.00984853,0.00984853,0.00984853
155,258.849,0.72357,0.60823,0.89519,0.64044,0.73649,0.80866,0.71178,0.62543,0.48766,0.86467,0.00984754,0.00984754,0.00984754
156,260.474,0.71451,0.60589,0.89605,0.64612,0.7087,0.82269,0.71875,0.64526,0.5118,0.86146,0.00984655,0.00984655,0.00984655
157,262.223,0.74359,0.63384,0.89291,0.65879,0.7514,0.85256,0.74219,0.61899,0.4814,0.86161,0.00984556,0.00984556,0.00984556
158,263.829,0.7139,0.58656,0.90685,0.70098,0.74018,0.85541,0.75848,0.67239,0.49631,0.86918,0.00984457,0.00984457,0.00984457
